255, 128, 128
255, 255, 128
128, 255, 128
0, 255, 128
128, 255, 255
0, 128, 255
255, 128, 192
255, 128, 255
255, 0, 0
255, 255, 0
128, 255, 0
0, 255, 64
0, 255, 255
0, 128, 192
128, 128, 192
255, 0, 255
128, 64, 64
255, 128, 64
0, 255, 0
0, 128, 128
0, 64, 128
128, 128, 255
128, 0, 64
255, 0, 128
128, 0, 0
255, 128, 0
0, 128, 0
0, 128, 64
0, 0, 255
0, 0, 160
128, 0, 128
128, 0, 255
69, 14, 14
128, 64, 0
0, 64, 0
0, 64, 64
0, 0, 128
0, 0, 64
64, 0, 64
64, 0, 128
0, 0, 0
128, 128, 0
128, 128, 64
128, 128, 128
64, 128, 128
192, 192, 192
64, 0, 64
255, 255, 255
